id;name;description;unit;adjust_nutrition_id;calories_per_unit;protein_per_unit;carbs_per_unit;fat_in_unit
1;Persistent;override;64656;18631;25573;41896;45550;90270
2;hybrid;User-friendly;20659;28280;98064;32757;89012;83791
3;hack;TCP New Israeli Sheqel Applications;33682;82748;418;46880;90406;47166
4;Agent;Indonesia national;559;30770;11892;91043;18023;2513
5;Concrete Malta;transmitter interactive;28428;24313;71584;66711;26559;82766
6;forecast Avon Towels;Research East Caribbean Dollar methodology;17410;62600;20556;76795;76219;2102
7;clicks-and-mortar Kroon methodologies;methodologies;39677;95570;96715;14895;4048;77600
8;transmitting;Optimization Refined Soft Towels evolve;13597;59791;48203;65075;97069;76165
9;Beauty viral;cutting-edge transmit redundant;59844;95136;21975;10315;96384;93764
10;Intranet bypassing;Auto Loan Account;25084;92312;43852;64191;67583;7848
