id;created_at;expiration_date;designed;nutrition_done;fitness_done;paid
1;2020-07-31;2020-07-31;false;true;false;true
2;2020-07-31;2020-07-30;false;false;true;false
3;2020-07-30;2020-07-31;false;true;true;false
4;2020-07-31;2020-07-31;true;false;false;true
5;2020-07-31;2020-07-31;true;true;true;false
6;2020-07-30;2020-07-30;true;false;true;false
7;2020-07-31;2020-07-30;false;true;true;false
8;2020-07-30;2020-07-31;true;true;false;true
9;2020-07-31;2020-07-31;false;false;false;true
10;2020-07-30;2020-07-31;false;true;false;false
