id;name;description;unit;adjust_nutrition_id;calories_per_unit;protein_per_unit;carbs_per_unit;fat_in_unit
1;magenta project;Practical functionalities Incredible;20042;56557;57413;84331;93560;79881
2;program New Taiwan Dollar client-driven;integrated Home Loan Account;71084;90587;91730;78073;16741;89227
3;orchid Berkshire;Facilitator;36952;68163;26072;88735;20174;456
4;Singapore magenta;Croatian Kuna Implementation Sierra Leone;92983;36764;49671;53135;1480;62762
5;Intelligent maroon;Bolivia Persistent virtual;38757;93132;37081;58772;25577;8183
6;deposit redundant;sky blue International;60935;34230;45629;88146;1048;99977
7;Borders magenta Down-sized;Colorado navigating;16709;43403;73187;53947;52948;37296
8;ability Chips Gloves;engineer Savings Account synthesizing;11315;87295;47497;14944;8322;62543
9;Generic;Berkshire cross-platform Consultant;38497;81063;86928;59733;24020;64297
10;Licensed Shoes Architect;Hat drive dedicated;36123;43431;76226;7669;30996;16149
