id;daily_calories;protein_percentage;carbs_percentage;fat_percentage;description
1;38405;77710;63571;42863;../fake-data/blob/hipster.txt
2;60319;68438;28545;38773;../fake-data/blob/hipster.txt
3;33573;1623;67601;85075;../fake-data/blob/hipster.txt
4;9471;4460;13633;63938;../fake-data/blob/hipster.txt
5;93723;84373;73409;21867;../fake-data/blob/hipster.txt
6;17898;44726;23676;38368;../fake-data/blob/hipster.txt
7;41456;18681;40314;45574;../fake-data/blob/hipster.txt
8;6288;72067;75234;89413;../fake-data/blob/hipster.txt
9;39007;3343;92059;42320;../fake-data/blob/hipster.txt
10;67152;118;17475;32966;../fake-data/blob/hipster.txt
